POLYGON_ID,ADM0_ISO3,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,ADM3_NAME,ADM3_CODE,CST_NAME,CST_CODE,HEX05_CODE,HEX05_X,HEX05_Y,PRIO_CODE,PRIO_COL,PRIO_ROW,PRIO_X,PRIO_Y,GEOSET,GEOSET_YEAR,GEOSET_VERSION,GEOSET_UNIT,CENTROID_LONG,CENTROID_LAT,YEAR,GHS_VERSION,GHS_POP_COUNT,GHS_POP_KM2,GHS_POP_COUNT_LI,GHS_POP_KM2_LI,GHS_POP_COUNT_MR,GHS_POP_KM2_MR
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1976,GHS_P2019,,,158647.83808772,24122.631805507,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1976,GHS_P2019,,,148838.94093282,623.9075174869,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1976,GHS_P2019,,,67184.310772871,4741.754616572,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1976,GHS_P2019,,,86716.415463971,13926.862596324,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1976,GHS_P2019,,,294361.84839409,943.7159455271,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1976,GHS_P2019,,,50318.557436859,11862.157336494,54106.072353363,22640.347191987
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1976,GHS_P2019,,,207459.67575655,810.0316577099,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1977,GHS_P2019,,,147185.51686786,690.6717159092,139610.27155262,655.1246879536
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1977,GHS_P2019,,,229944.54644799,331.4298389354,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1977,GHS_P2019,,,46889.171880581,469.3928402125,44403.963152272,444.514192627
